discipline,number_of_athletes
ATHLETICS,2068
SWIMMING,743
FOOTBALL,567
ROWING,496
HOCKEY,406
JUDO,373
HANDBALL,343
SHOOTING,342
SAILING,336
RUGBY SEVENS,283
BASKETBALL,280
WRESTLING,279
VOLLEYBALL,274
BOXING,270
WATER POLO,269
FENCING,249
EQUESTRIAN,237
CANOE SPRINT,236
BASEBALL/SOFTBALL,220
CYCLING TRACK,208
CYCLING ROAD,190
ARTISTIC GYMNASTICS,187
WEIGHTLIFTING,187
TENNIS,178
BADMINTON,164
TABLE TENNIS,164
DIVING,133
TAEKWONDO,123
ARCHERY,122
GOLF,115
TRIATHLON,106
ARTISTIC SWIMMING,98
RHYTHMIC GYMNASTICS,95
BEACH VOLLEYBALL,90
CANOE SLALOM,78
KARATE,77
SKATEBOARDING,77
CYCLING MOUNTAIN BIKE,74
MODERN PENTATHLON,69
3X3 BASKETBALL,62
MARATHON SWIMMING,49
CYCLING BMX RACING,43
SURFING,38
SPORT CLIMBING,37
TRAMPOLINE GYMNASTICS,31
CYCLING BMX FREESTYLE,19
