noc,number_of_athletes
UNITED STATES OF AMERICA,615
JAPAN,586
AUSTRALIA,470
PEOPLE'S REPUBLIC OF CHINA,401
GERMANY,400
FRANCE,377
CANADA,368
GREAT BRITAIN,366
ITALY,356
SPAIN,324
ROC,318
BRAZIL,291
NETHERLANDS,274
REPUBLIC OF KOREA,223
NEW ZEALAND,202
POLAND,195
ARGENTINA,180
SOUTH AFRICA,171
HUNGARY,155
MEXICO,155
UKRAINE,152
EGYPT,133
SWEDEN,129
BELGIUM,125
CZECH REPUBLIC,117
INDIA,117
IRELAND,116
SWITZERLAND,115
BELARUS,104
DENMARK,103
TURKEY,102
ROMANIA,99
KAZAKHSTAN,92
NORWAY,92
ISRAEL,85
PORTUGAL,85
SERBIA,83
KENYA,78
GREECE,75
AUSTRIA,72
CUBA,69
CHINESE TAIPEI,67
ISLAMIC REPUBLIC OF IRAN,66
COLOMBIA,64
UZBEKISTAN,63
DOMINICAN REPUBLIC,61
JAMAICA,60
NIGERIA,59
CROATIA,57
TUNISIA,57
CHILE,56
SLOVENIA,51
MOROCCO,48
ECUADOR,46
FINLAND,45
MONGOLIA,43
VENEZUELA,43
ETHIOPIA,42
ALGERIA,41
AZERBAIJAN,41
BULGARIA,41
"HONG KONG, CHINA",40
THAILAND,39
SLOVAKIA,38
LITHUANIA,37
GEORGIA,35
MONTENEGRO,35
PUERTO RICO,35
ESTONIA,33
PERU,33
SAUDI ARABIA,32
BAHRAIN,31
TRINIDAD AND TOBAGO,31
CÔTE D'IVOIRE,29
LATVIA,29
MALAYSIA,29
ZAMBIA,29
FIJI,28
INDONESIA,26
REFUGEE OLYMPIC TEAM,26
HONDURAS,25
UGANDA,24
SINGAPORE,23
GUATEMALA,22
ANGOLA,20
REPUBLIC OF MOLDOVA,19
PHILIPPINES,18
VIETNAM,17
ARMENIA,16
BAHAMAS,16
KYRGYZSTAN,16
CYPRUS,14
GHANA,14
QATAR,14
BOTSWANA,13
COSTA RICA,13
ERITREA,13
CAMEROON,11
JORDAN,11
LUXEMBOURG,11
NAMIBIA,11
URUGUAY,11
KOSOVO,10
KUWAIT,10
PAKISTAN,10
PANAMA,9
SENEGAL,9
SRI LANKA,9
ALBANIA,8
MOZAMBIQUE,8
NICARAGUA,8
NORTH MACEDONIA,8
PARAGUAY,8
SAMOA,8
TAJIKISTAN,8
TURKMENISTAN,8
BARBADOS,7
BENIN,7
BOSNIA AND HERZEGOVINA,7
BURKINA FASO,7
DEMOCRATIC REPUBLIC OF THE CONGO,7
GUYANA,7
MAURITIUS,7
NIGER,7
PAPUA NEW GUINEA,7
ANTIGUA AND BARBUDA,6
BANGLADESH,6
BURUNDI,6
CAPE VERDE,6
COOK ISLANDS,6
GRENADA,6
HAITI,6
LEBANON,6
MADAGASCAR,6
MALTA,6
MONACO,6
SYRIAN ARAB REPUBLIC,6
AFGHANISTAN,5
AMERICAN SAMOA,5
BOLIVIA,5
CAYMAN ISLANDS,5
EL SALVADOR,5
GABON,5
GUAM,5
GUINEA,5
LIECHTENSTEIN,5
MALAWI,5
NEPAL,5
OMAN,5
RWANDA,5
SAINT LUCIA,5
SEYCHELLES,5
SUDAN,5
TONGA,5
ZIMBABWE,5
DJIBOUTI,4
ESWATINI,4
GUINEA-BISSAU,4
ICELAND,4
IRAQ,4
LAO PEOPLE'S DEMOCRATIC REPUBLIC,4
LIBYA,4
MALDIVES,4
MALI,4
PALESTINE,4
SAN MARINO,4
SIERRA LEONE,4
TOGO,4
UNITED ARAB EMIRATES,4
"VIRGIN ISLANDS, US",4
ARUBA,3
BELIZE,3
BHUTAN,3
CAMBODIA,3
CHAD,3
COMOROS,3
CONGO,3
DEMOCRATIC REPUBLIC OF TIMOR-LESTE,3
EQUATORIAL GUINEA,3
FEDERATED STATES OF MICRONESIA,3
GAMBIA,3
KIRIBATI,3
LIBERIA,3
PALAU,3
SAO TOME AND PRINCIPE,3
SOLOMON ISLANDS,3
SURINAME,3
"VIRGIN ISLANDS, BRITISH",3
YEMEN,3
ANDORRA,2
BERMUDA,2
BRUNEI DARUSSALAM,2
CENTRAL AFRICAN REPUBLIC,2
DOMINICA,2
LESOTHO,2
MARSHALL ISLANDS,2
MAURITANIA,2
MYANMAR,2
NAURU,2
SAINT KITTS AND NEVIS,2
SOMALIA,2
SOUTH SUDAN,2
ST VINCENT AND THE GRENADINES,2
TUVALU,2
UNITED REPUBLIC OF TANZANIA,2
VANUATU,2
